Local time,Open,High,Low,Close,Volume
09.12.2012 23:00:00.000 GMT+0100,0.93688,0.93705,0.93260,0.93346,99654.8605
10.12.2012 23:00:00.000 GMT+0100,0.93344,0.93688,0.93162,0.93221,109068.7012
11.12.2012 23:00:00.000 GMT+0100,0.93221,0.93261,0.92433,0.92621,106982.58060000002
12.12.2012 23:00:00.000 GMT+0100,0.92620,0.92750,0.92253,0.92352,108656.2494
13.12.2012 23:00:00.000 GMT+0100,0.92354,0.92472,0.91664,0.91725,106519.9917
14.12.2012 23:00:00.000 GMT+0100,0.91725,0.91725,0.91725,0.91725,0
15.12.2012 23:00:00.000 GMT+0100,0.91725,0.91725,0.91725,0.91725,0
16.12.2012 23:00:00.000 GMT+0100,0.91646,0.91943,0.91546,0.91750,96126.8702
17.12.2012 23:00:00.000 GMT+0100,0.91748,0.91857,0.91238,0.91299,92563.6403
18.12.2012 23:00:00.000 GMT+0100,0.91299,0.91369,0.90873,0.91323,104620.49969999999
19.12.2012 23:00:00.000 GMT+0100,0.91324,0.91538,0.90833,0.91147,108632.10009999998
20.12.2012 23:00:00.000 GMT+0100,0.91145,0.91784,0.91083,0.91544,118824.58110000004
21.12.2012 23:00:00.000 GMT+0100,0.91544,0.91544,0.91544,0.91544,0
22.12.2012 23:00:00.000 GMT+0100,0.91544,0.91544,0.91544,0.91544,0
23.12.2012 23:00:00.000 GMT+0100,0.91617,0.91708,0.91254,0.91558,64416.990099999995
24.12.2012 23:00:00.000 GMT+0100,0.91533,0.91704,0.91263,0.91568,35257.809799999995
25.12.2012 23:00:00.000 GMT+0100,0.91564,0.91672,0.91113,0.91319,72885.93000000001
26.12.2012 23:00:00.000 GMT+0100,0.91321,0.91565,0.90954,0.91314,93713.0405
27.12.2012 23:00:00.000 GMT+0100,0.91312,0.91814,0.91170,0.91337,102186.20030000001
28.12.2012 23:00:00.000 GMT+0100,0.91337,0.91337,0.91337,0.91337,0
29.12.2012 23:00:00.000 GMT+0100,0.91337,0.91337,0.91337,0.91337,0
30.12.2012 23:00:00.000 GMT+0100,0.91282,0.91663,0.91202,0.91481,95003.6805
31.12.2012 23:00:00.000 GMT+0100,0.91494,0.91778,0.91428,0.91778,4453.5999
01.01.2013 23:00:00.000 GMT+0100,0.91450,0.91990,0.90770,0.91780,141405.3689
02.01.2013 23:00:00.000 GMT+0100,0.91780,0.92680,0.91721,0.92668,118831.589
03.01.2013 23:00:00.000 GMT+0100,0.92663,0.93028,0.92312,0.92453,125712.57960000001
04.01.2013 23:00:00.000 GMT+0100,0.92453,0.92453,0.92453,0.92453,0
05.01.2013 23:00:00.000 GMT+0100,0.92453,0.92453,0.92453,0.92453,0
06.01.2013 23:00:00.000 GMT+0100,0.92436,0.92863,0.92104,0.92118,105737.1099
07.01.2013 23:00:00.000 GMT+0100,0.92118,0.92567,0.92005,0.92405,113476.41960000001
08.01.2013 23:00:00.000 GMT+0100,0.92405,0.92729,0.92310,0.92521,112982.8797
09.01.2013 23:00:00.000 GMT+0100,0.92516,0.92681,0.91334,0.91409,136579.9781
10.01.2013 23:00:00.000 GMT+0100,0.91407,0.91781,0.91103,0.91346,139362.5991
11.01.2013 23:00:00.000 GMT+0100,0.91346,0.91346,0.91346,0.91346,0
12.01.2013 23:00:00.000 GMT+0100,0.91346,0.91346,0.91346,0.91346,0
13.01.2013 23:00:00.000 GMT+0100,0.91224,0.92285,0.91193,0.92175,136128.57789999997
14.01.2013 23:00:00.000 GMT+0100,0.92174,0.93321,0.92111,0.93177,166727.4506
15.01.2013 23:00:00.000 GMT+0100,0.93175,0.93289,0.92857,0.93088,145089.85789999997
16.01.2013 23:00:00.000 GMT+0100,0.93088,0.93597,0.92975,0.93241,152235.12900000002
17.01.2013 23:00:00.000 GMT+0100,0.93240,0.93883,0.93040,0.93400,159368.3013
18.01.2013 23:00:00.000 GMT+0100,0.93400,0.93400,0.93400,0.93400,0
19.01.2013 23:00:00.000 GMT+0100,0.93400,0.93400,0.93400,0.93400,0
20.01.2013 23:00:00.000 GMT+0100,0.93426,0.93491,0.93077,0.93227,102413.6403
21.01.2013 23:00:00.000 GMT+0100,0.93219,0.93462,0.92745,0.92919,154899.0011
22.01.2013 23:00:00.000 GMT+0100,0.92917,0.93153,0.92769,0.92923,126459.53910000001
23.01.2013 23:00:00.000 GMT+0100,0.92917,0.93243,0.92794,0.92863,139605.2106
24.01.2013 23:00:00.000 GMT+0100,0.92858,0.93065,0.92215,0.92625,148629.83969999998
25.01.2013 23:00:00.000 GMT+0100,0.92625,0.92625,0.92625,0.92625,0
26.01.2013 23:00:00.000 GMT+0100,0.92625,0.92625,0.92625,0.92625,0
27.01.2013 23:00:00.000 GMT+0100,0.92676,0.92921,0.92571,0.92607,128501.3603
28.01.2013 23:00:00.000 GMT+0100,0.92607,0.92674,0.91931,0.92118,135410.0099
29.01.2013 23:00:00.000 GMT+0100,0.92121,0.92267,0.90930,0.91081,144348.86039999998
30.01.2013 23:00:00.000 GMT+0100,0.91073,0.91202,0.90750,0.90990,131924.45109999998
31.01.2013 23:00:00.000 GMT+0100,0.90991,0.91086,0.90217,0.90804,165257.9304
01.02.2013 23:00:00.000 GMT+0100,0.90804,0.90804,0.90804,0.90804,0
02.02.2013 23:00:00.000 GMT+0100,0.90804,0.90804,0.90804,0.90804,0
03.02.2013 23:00:00.000 GMT+0100,0.90804,0.91168,0.90721,0.90816,124634.70960000002
04.02.2013 23:00:00.000 GMT+0100,0.90816,0.91157,0.90724,0.90829,155079.85
05.02.2013 23:00:00.000 GMT+0100,0.90830,0.91492,0.90563,0.91013,147386.8308
06.02.2013 23:00:00.000 GMT+0100,0.91003,0.92007,0.90651,0.91821,154405.76990000004
07.02.2013 23:00:00.000 GMT+0100,0.91825,0.91956,0.91533,0.91690,127269.35940000002
08.02.2013 23:00:00.000 GMT+0100,0.91690,0.91690,0.91690,0.91690,0
09.02.2013 23:00:00.000 GMT+0100,0.91690,0.91690,0.91690,0.91690,0
10.02.2013 23:00:00.000 GMT+0100,0.91762,0.92034,0.91564,0.92007,134248.44090000002
11.02.2013 23:00:00.000 GMT+0100,0.92004,0.92141,0.91494,0.91702,139897.7601
12.02.2013 23:00:00.000 GMT+0100,0.91683,0.91961,0.91521,0.91673,121661.81
13.02.2013 23:00:00.000 GMT+0100,0.91673,0.92455,0.91664,0.92095,135235.83959999998
14.02.2013 23:00:00.000 GMT+0100,0.92092,0.92409,0.92003,0.92169,128181.12040000001
15.02.2013 23:00:00.000 GMT+0100,0.92169,0.92169,0.92169,0.92169,0
16.02.2013 23:00:00.000 GMT+0100,0.92169,0.92169,0.92169,0.92169,0
17.02.2013 23:00:00.000 GMT+0100,0.92261,0.92576,0.92095,0.92338,106208.86880000001
18.02.2013 23:00:00.000 GMT+0100,0.92327,0.92488,0.92151,0.92250,105376.89980000001
19.02.2013 23:00:00.000 GMT+0100,0.92250,0.92855,0.91842,0.92704,123611.87789999998
20.02.2013 23:00:00.000 GMT+0100,0.92665,0.93325,0.92649,0.93077,136034.1981
21.02.2013 23:00:00.000 GMT+0100,0.93074,0.93281,0.92831,0.92945,129446.4704
22.02.2013 23:00:00.000 GMT+0100,0.92945,0.92945,0.92945,0.92945,0
23.02.2013 23:00:00.000 GMT+0100,0.92945,0.92945,0.92945,0.92945,0
24.02.2013 23:00:00.000 GMT+0100,0.92911,0.93383,0.92310,0.93181,199032.4314
25.02.2013 23:00:00.000 GMT+0100,0.93181,0.93349,0.92859,0.93172,221678.4207
26.02.2013 23:00:00.000 GMT+0100,0.93172,0.93320,0.92848,0.92941,176660.0294
27.02.2013 23:00:00.000 GMT+0100,0.92941,0.93732,0.92794,0.93668,154668.68929999997
28.02.2013 23:00:00.000 GMT+0100,0.93668,0.94626,0.93511,0.94242,170174.29080000002
01.03.2013 23:00:00.000 GMT+0100,0.94242,0.94242,0.94242,0.94242,0
02.03.2013 23:00:00.000 GMT+0100,0.94242,0.94242,0.94242,0.94242,0
03.03.2013 23:00:00.000 GMT+0100,0.94213,0.94400,0.94072,0.94082,120571.6694
04.03.2013 23:00:00.000 GMT+0100,0.94077,0.94332,0.93930,0.94076,132048.61070000005
05.03.2013 23:00:00.000 GMT+0100,0.94078,0.94889,0.94020,0.94863,118596.73869999999
06.03.2013 23:00:00.000 GMT+0100,0.94863,0.94884,0.94096,0.94250,154590.8109
07.03.2013 23:00:00.000 GMT+0100,0.94249,0.95516,0.94171,0.95093,147220.4302
08.03.2013 23:00:00.000 GMT+0100,0.95093,0.95093,0.95093,0.95093,0
09.03.2013 23:00:00.000 GMT+0100,0.95093,0.95093,0.95093,0.95093,0
10.03.2013 22:00:00.000 GMT+0100,0.95221,0.95291,0.94655,0.94686,122105.37040000001
11.03.2013 22:00:00.000 GMT+0100,0.94680,0.95042,0.94358,0.94699,143763.9183
12.03.2013 22:00:00.000 GMT+0100,0.94698,0.95323,0.94293,0.95230,127731.4893
13.03.2013 22:00:00.000 GMT+0100,0.95230,0.95664,0.94508,0.94701,142553.99000000002
14.03.2013 22:00:00.000 GMT+0100,0.94699,0.94759,0.93789,0.93828,140918.7517
15.03.2013 22:00:00.000 GMT+0100,0.93828,0.93828,0.93828,0.93828,0
16.03.2013 22:00:00.000 GMT+0100,0.93828,0.93828,0.93828,0.93828,0
17.03.2013 22:00:00.000 GMT+0100,0.94426,0.94864,0.94162,0.94596,171187.50000000003
18.03.2013 22:00:00.000 GMT+0100,0.94596,0.94909,0.94253,0.94668,163108.8294
19.03.2013 22:00:00.000 GMT+0100,0.94665,0.94807,0.94108,0.94510,148050.248
20.03.2013 22:00:00.000 GMT+0100,0.94508,0.94819,0.94381,0.94643,163586.3711
21.03.2013 22:00:00.000 GMT+0100,0.94643,0.94741,0.93961,0.94091,152494.41059999997
22.03.2013 22:00:00.000 GMT+0100,0.94091,0.94091,0.94091,0.94091,0
23.03.2013 22:00:00.000 GMT+0100,0.94091,0.94091,0.94091,0.94091,0
24.03.2013 22:00:00.000 GMT+0100,0.94294,0.94965,0.93509,0.94843,169087.70140000002
25.03.2013 22:00:00.000 GMT+0100,0.94843,0.95045,0.94718,0.94797,127628.032
26.03.2013 22:00:00.000 GMT+0100,0.94797,0.95533,0.94765,0.95379,120922.41089999997
27.03.2013 22:00:00.000 GMT+0100,0.95380,0.95480,0.94660,0.94962,117934.6489
28.03.2013 22:00:00.000 GMT+0100,0.94961,0.95114,0.94801,0.94885,64029.99009999999
29.03.2013 22:00:00.000 GMT+0100,0.94885,0.94885,0.94885,0.94885,0
30.03.2013 22:00:00.000 GMT+0100,0.94885,0.94885,0.94885,0.94885,0
